region,raw_variable,mean_slope,std_slope,n_admin
East,COD_b_adj,0.077,0.015,5
East,Chla_b_adj,0.014,0.031,5
East,DIN_b_adj,3.063,2.836,5
East,DIP_b_adj,0.373,0.401,5
East,DO_b_adj,-0.057,0.038,5
East,NH3-N_b_adj,0.249,0.334,5
East,NO2-_b_adj,0.075,0.080,5
East,NO3-_b_adj,2.743,2.595,5
East,SAS_b_adj,5.655,6.444,5
East,SS_b_adj,0.080,0.271,5
East,TN_b_adj,-4.881,1.776,5
East,TP_b_adj,0.455,0.401,5
East,pH_b_adj,-0.003,0.002,5
East,salinity_b_adj,-0.012,0.012,5
East,temp_b_adj,0.138,0.120,5
Jeju,COD_b_adj,0.053,0.010,5
Jeju,Chla_b_adj,-0.011,0.004,5
Jeju,DIN_b_adj,-0.407,0.635,5
Jeju,DIP_b_adj,-0.036,0.111,5
Jeju,DO_b_adj,-0.021,0.023,5
Jeju,NH3-N_b_adj,-0.082,0.206,5
Jeju,NO2-_b_adj,0.036,0.046,5
Jeju,NO3-_b_adj,-0.382,0.751,5
Jeju,SAS_b_adj,-2.368,1.960,5
Jeju,SS_b_adj,1.046,0.477,5
Jeju,TN_b_adj,-7.362,1.402,5
Jeju,TP_b_adj,0.218,0.085,5
Jeju,pH_b_adj,-0.005,0.004,5
Jeju,salinity_b_adj,-0.033,0.023,5
Jeju,temp_b_adj,0.246,0.039,5
South,COD_b_adj,0.069,0.022,6
South,Chla_b_adj,-0.055,0.096,6
South,DIN_b_adj,0.811,1.779,6
South,DIP_b_adj,0.352,0.166,6
South,DO_b_adj,-0.059,0.035,6
South,NH3-N_b_adj,0.214,0.561,6
South,NO2-_b_adj,-0.396,0.253,6
South,NO3-_b_adj,1.136,1.273,6
South,SAS_b_adj,6.712,7.555,6
South,SS_b_adj,-0.008,0.364,6
South,TN_b_adj,-8.415,1.707,6
South,TP_b_adj,0.354,0.371,6
South,pH_b_adj,-0.011,0.002,6
South,salinity_b_adj,-0.023,0.009,6
South,temp_b_adj,0.157,0.036,6
West,COD_b_adj,0.067,0.018,8
West,Chla_b_adj,-0.008,0.120,8
West,DIN_b_adj,1.302,2.459,8
West,DIP_b_adj,0.224,0.316,8
West,DO_b_adj,-0.021,0.055,8
West,NH3-N_b_adj,0.355,0.475,8
West,NO2-_b_adj,0.119,0.374,8
West,NO3-_b_adj,0.957,2.058,8
West,SAS_b_adj,2.720,4.564,8
West,SS_b_adj,1.308,3.146,8
West,TN_b_adj,-10.117,4.341,8
West,TP_b_adj,-0.590,1.145,8
West,pH_b_adj,-0.001,0.008,8
West,salinity_b_adj,-0.054,0.016,8
West,temp_b_adj,0.193,0.104,8
